Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
185,Joe Kleine\kleinjo01,C,29,BOS,72,1,11.8,1.4,3,0.468,0,0,0,1.4,3,0.472,0.468,0.8,1,0.783,1,2.4,3.4,0.3,0.2,0.2,0.7,1.5,3.6
186,Negele Knight\knighne01,PG,23,PHO,64,6,12.4,2,4.8,0.425,0.1,0.4,0.24,2,4.4,0.442,0.435,1.1,1.8,0.602,0.3,0.8,1.1,3,0.3,0.1,1.2,1.3,5.3
187,Bart Kofoed\kofoeba01,SG,26,GSW,5,0,4.2,0,0.6,0,0,0,,0,0.6,0,0,0.6,1.2,0.5,0.4,0.2,0.6,0.8,0,0,0.4,0.8,0.6
188,Jon Koncak\koncajo01,C,27,ATL,77,61,25.1,1.8,4.2,0.436,0,0.1,0.125,1.8,4.1,0.444,0.438,0.4,0.7,0.593,1.3,3.6,4.9,1.6,1,1,0.6,3.4,4.1
189,Frank Kornet\kornefr01,PF,24,MIL,32,0,4.9,0.7,1.9,0.371,0.2,0.6,0.278,0.6,1.4,0.409,0.411,0.2,0.4,0.538,0.3,0.4,0.8,0.3,0.2,0,0.3,0.9,1.8
190,Bill Laimbeer\laimbbi01,C,33,DET,82,81,32.5,4.5,9.5,0.478,0.5,1.5,0.296,4.1,8,0.513,0.502,1.5,1.8,0.837,2.1,6.9,9,1.9,0.5,0.7,1.2,3,11
191,Jerome Lane\laneje01,PF,24,DEN,62,25,22.3,3.3,7.4,0.438,0,0.1,0.25,3.2,7.4,0.44,0.439,0.9,2.3,0.411,4.5,4.8,9.3,2,0.8,0.2,1.7,3.1,7.5
192,Andrew Lang\langan01,C,24,PHO,63,18,18.3,1.7,3,0.577,0,0,0,1.7,3,0.58,0.577,1.5,2.1,0.715,1.8,3,4.8,0.4,0.3,2,0.7,2.7,4.9
193,Eric Leckner\leckner01,C,24,TOT,72,2,15.6,1.8,4.1,0.446,0,0,,1.8,4.1,0.446,0.446,0.9,1.5,0.559,1.1,3,4.1,0.5,0.2,0.3,1,2.7,4.5
193,Eric Leckner\leckner01,C,24,SAC,32,0,11.8,1.2,3,0.406,0,0,,1.2,3,0.406,0.406,0.5,0.8,0.593,0.8,1.9,2.7,0.6,0.1,0.3,0.8,2.2,2.9
193,Eric Leckner\leckner01,C,24,CHH,40,2,18.6,2.3,5,0.465,0,0,,2.3,5,0.465,0.465,1.2,2.1,0.548,1.4,3.8,5.2,0.5,0.3,0.3,1.1,3.1,5.8
194,Kurk Lee\leeku01,PG,23,NJN,48,0,5.5,0.4,1.5,0.268,0.1,0.3,0.2,0.3,1.2,0.286,0.289,0.5,0.6,0.893,0.1,0.5,0.6,0.7,0.2,0,0.4,0.8,1.4
195,Tim Legler\legleti01,SG,24,DEN,10,0,14.8,2.5,7.2,0.347,0.3,1.2,0.25,2.2,6,0.367,0.368,0.5,0.6,0.833,0.8,1,1.8,1.2,0.2,0,0.4,2,5.8
196,Gary Leonard\leonaga01,C,23,ATL,4,0,2.3,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0.5,0.5,0,0,0.3,0,0.5,0.5
